date,category,amount,department,ExecSubFunction,Country
2024-01-01,Salaries,49749.08,Engineering,Infrastructure,150
2024-01-01,Utilities,7176.07,Engineering,Infrastructure,150
2024-01-01,Rent,15000.0,Engineering,Infrastructure,150
2024-01-01,Office Supplies,2698.66,Engineering,Infrastructure,150
2024-01-01,Insurance,2896.81,Engineering,Infrastructure,150
2024-01-01,Maintenance,1983.99,Engineering,Infrastructure,150
2024-01-01,IT Services,7292.93,Engineering,Infrastructure,150
2024-01-01,Marketing,12563.23,Engineering,Infrastructure,150
2024-01-01,Travel,4323.57,Engineering,Infrastructure,150
2024-01-01,Professional Services,7699.37,Engineering,Infrastructure,150
2024-02-01,Salaries,49188.29,Engineering,Infrastructure,150
2024-02-01,Utilities,6771.91,Engineering,Infrastructure,150
2024-02-01,Rent,15300.0,Engineering,Infrastructure,150
2024-02-01,Office Supplies,1720.9,Engineering,Infrastructure,150
2024-02-01,Insurance,2948.12,Engineering,Infrastructure,150
2024-02-01,Maintenance,2041.31,Engineering,Infrastructure,150
2024-02-01,IT Services,7840.52,Engineering,Infrastructure,150
2024-02-01,Marketing,10275.03,Engineering,Infrastructure,150
2024-02-01,Travel,3801.14,Engineering,Infrastructure,150
2024-02-01,Professional Services,5553.94,Engineering,Infrastructure,150
2024-03-01,Salaries,50525.5,Engineering,Infrastructure,150
2024-03-01,Utilities,4548.87,Engineering,Infrastructure,150
2024-03-01,Rent,15606.0,Engineering,Infrastructure,150
2024-03-01,Office Supplies,1885.07,Engineering,Infrastructure,150
2024-03-01,Insurance,3077.1,Engineering,Infrastructure,150
2024-03-01,Maintenance,3482.83,Engineering,Infrastructure,150
2024-03-01,IT Services,7823.26,Engineering,Infrastructure,150
2024-03-01,Marketing,10302.64,Engineering,Infrastructure,150
2024-03-01,Travel,5550.82,Engineering,Infrastructure,150
2024-03-01,Professional Services,5010.2,Engineering,Infrastructure,150
2024-04-01,Salaries,50668.38,Engineering,Infrastructure,150
2024-04-01,Utilities,4642.32,Engineering,Infrastructure,150
2024-04-01,Rent,15918.12,Engineering,Infrastructure,150
2024-04-01,Office Supplies,2485.8,Engineering,Infrastructure,150
2024-04-01,Insurance,3283.11,Engineering,Infrastructure,150
2024-04-01,Maintenance,3802.41,Engineering,Infrastructure,150
2024-04-01,IT Services,8157.91,Engineering,Infrastructure,150
2024-04-01,Marketing,7401.38,Engineering,Infrastructure,150
2024-04-01,Travel,4658.73,Engineering,Infrastructure,150
2024-04-01,Professional Services,7888.36,Engineering,Infrastructure,150
2024-05-01,Salaries,49837.67,Engineering,Infrastructure,150
2024-05-01,Utilities,5195.49,Engineering,Infrastructure,150
2024-05-01,Rent,16236.48,Engineering,Infrastructure,150
2024-05-01,Office Supplies,2457.87,Engineering,Infrastructure,150
2024-05-01,Insurance,3107.28,Engineering,Infrastructure,150
2024-05-01,Maintenance,2832.64,Engineering,Infrastructure,150
2024-05-01,IT Services,8333.36,Engineering,Infrastructure,150
2024-05-01,Marketing,10552.22,Engineering,Infrastructure,150
2024-05-01,Travel,4233.09,Engineering,Infrastructure,150
2024-05-01,Professional Services,5456.56,Engineering,Infrastructure,150
2024-06-01,Salaries,51707.86,Engineering,Infrastructure,150
2024-06-01,Utilities,5688.8,Engineering,Infrastructure,150
2024-06-01,Rent,16561.21,Engineering,Infrastructure,150
2024-06-01,Office Supplies,2455.3,Engineering,Infrastructure,150
2024-06-01,Insurance,3263.49,Engineering,Infrastructure,150
2024-06-01,Maintenance,3260.14,Engineering,Infrastructure,150
2024-06-01,IT Services,8105.71,Engineering,Infrastructure,150
2024-06-01,Marketing,8273.43,Engineering,Infrastructure,150
2024-06-01,Travel,4249.39,Engineering,Infrastructure,150
2024-06-01,Professional Services,5865.47,Engineering,Infrastructure,150
2024-07-01,Salaries,50680.09,Engineering,Infrastructure,150
2024-07-01,Utilities,6270.42,Engineering,Infrastructure,150
2024-07-01,Rent,16892.44,Engineering,Infrastructure,150
2024-07-01,Office Supplies,1913.16,Engineering,Infrastructure,150
2024-07-01,Insurance,3208.47,Engineering,Infrastructure,150
2024-07-01,Maintenance,2689.61,Engineering,Infrastructure,150
2024-07-01,IT Services,8362.3,Engineering,Infrastructure,150
2024-07-01,Marketing,12860.72,Engineering,Infrastructure,150
2024-07-01,Travel,2718.72,Engineering,Infrastructure,150
2024-07-01,Professional Services,7609.54,Engineering,Infrastructure,150
2024-08-01,Salaries,51615.52,Engineering,Infrastructure,150
2024-08-01,Utilities,6216.32,Engineering,Infrastructure,150
2024-08-01,Rent,17230.29,Engineering,Infrastructure,150
2024-08-01,Office Supplies,2397.73,Engineering,Infrastructure,150
2024-08-01,Insurance,3398.41,Engineering,Infrastructure,150
2024-08-01,Maintenance,3006.62,Engineering,Infrastructure,150
2024-08-01,IT Services,9688.05,Engineering,Infrastructure,150
2024-08-01,Marketing,7524.58,Engineering,Infrastructure,150
2024-08-01,Travel,3673.12,Engineering,Infrastructure,150
2024-08-01,Professional Services,5444.4,Engineering,Infrastructure,150
2024-09-01,Salaries,51956.5,Engineering,Infrastructure,150
2024-09-01,Utilities,5614.55,Engineering,Infrastructure,150
2024-09-01,Rent,17574.89,Engineering,Infrastructure,150
2024-09-01,Office Supplies,2459.77,Engineering,Infrastructure,150
2024-09-01,Insurance,3315.6,Engineering,Infrastructure,150
2024-09-01,Maintenance,2385.07,Engineering,Infrastructure,150
2024-09-01,IT Services,9803.71,Engineering,Infrastructure,150
2024-09-01,Marketing,11871.25,Engineering,Infrastructure,150
2024-09-01,Travel,6701.2,Engineering,Infrastructure,150
2024-09-01,Professional Services,6424.93,Engineering,Infrastructure,150
2024-10-01,Salaries,50584.71,Engineering,Infrastructure,150
2024-10-01,Utilities,5818.26,Engineering,Infrastructure,150
2024-10-01,Rent,17926.39,Engineering,Infrastructure,150
2024-10-01,Office Supplies,2155.91,Engineering,Infrastructure,150
2024-10-01,Insurance,3523.12,Engineering,Infrastructure,150
2024-10-01,Maintenance,3213.04,Engineering,Infrastructure,150
2024-10-01,IT Services,9604.21,Engineering,Infrastructure,150
2024-10-01,Marketing,10382.12,Engineering,Infrastructure,150
2024-10-01,Travel,2595.26,Engineering,Infrastructure,150
2024-10-01,Professional Services,5532.89,Engineering,Infrastructure,150
2024-11-01,Salaries,50554.77,Engineering,Infrastructure,150
2024-11-01,Utilities,5749.13,Engineering,Infrastructure,150
2024-11-01,Rent,18284.92,Engineering,Infrastructure,150
2024-11-01,Office Supplies,2111.29,Engineering,Infrastructure,150
2024-11-01,Insurance,3623.52,Engineering,Infrastructure,150
2024-11-01,Maintenance,3112.31,Engineering,Infrastructure,150
2024-11-01,IT Services,9577.17,Engineering,Infrastructure,150
2024-11-01,Marketing,18545.34,Engineering,Infrastructure,150
2024-11-01,Travel,3292.33,Engineering,Infrastructure,150
2024-11-01,Professional Services,5506.27,Engineering,Infrastructure,150
2024-12-01,Salaries,51240.39,Engineering,Infrastructure,150
2024-12-01,Utilities,6127.06,Engineering,Infrastructure,150
2024-12-01,Rent,18650.61,Engineering,Infrastructure,150
2024-12-01,Office Supplies,2438.29,Engineering,Infrastructure,150
2024-12-01,Insurance,3580.99,Engineering,Infrastructure,150
2024-12-01,Maintenance,3337.25,Engineering,Infrastructure,150
2024-12-01,IT Services,10551.12,Engineering,Infrastructure,150
2024-12-01,Marketing,17634.24,Engineering,Infrastructure,150
2024-12-01,Travel,5552.62,Engineering,Infrastructure,150
2024-12-01,Professional Services,8138.16,Engineering,Infrastructure,150
2025-01-01,Salaries,52467.38,Engineering,Infrastructure,150
2025-01-01,Utilities,7993.85,Engineering,Infrastructure,150
