date,category,amount,department,ExecSubFunction,Country
2024-01-01,Salaries,50669.68,Marketing,Digital,175
2024-01-01,Utilities,5907.19,Marketing,Digital,175
2024-01-01,Rent,15000.0,Marketing,Digital,175
2024-01-01,Office Supplies,2460.5,Marketing,Digital,175
2024-01-01,Insurance,2957.79,Marketing,Digital,175
2024-01-01,Maintenance,2663.86,Marketing,Digital,175
2024-01-01,IT Services,7830.05,Marketing,Digital,175
2024-01-01,Marketing,9363.51,Marketing,Digital,175
2024-01-01,Travel,4031.69,Marketing,Digital,175
2024-01-01,Professional Services,7704.36,Marketing,Digital,175
2024-02-01,Salaries,51073.82,Marketing,Digital,175
2024-02-01,Utilities,5994.28,Marketing,Digital,175
2024-02-01,Rent,15300.0,Marketing,Digital,175
2024-02-01,Office Supplies,1621.53,Marketing,Digital,175
2024-02-01,Insurance,2959.1,Marketing,Digital,175
2024-02-01,Maintenance,3211.7,Marketing,Digital,175
2024-02-01,IT Services,8883.55,Marketing,Digital,175
2024-02-01,Marketing,12799.5,Marketing,Digital,175
2024-02-01,Travel,4490.86,Marketing,Digital,175
2024-02-01,Professional Services,5366.31,Marketing,Digital,175
2024-03-01,Salaries,50575.76,Marketing,Digital,175
2024-03-01,Utilities,4548.34,Marketing,Digital,175
2024-03-01,Rent,15606.0,Marketing,Digital,175
2024-03-01,Office Supplies,2397.66,Marketing,Digital,175
2024-03-01,Insurance,3016.02,Marketing,Digital,175
2024-03-01,Maintenance,3299.44,Marketing,Digital,175
2024-03-01,IT Services,8926.92,Marketing,Digital,175
2024-03-01,Marketing,7693.53,Marketing,Digital,175
2024-03-01,Travel,5455.59,Marketing,Digital,175
2024-03-01,Professional Services,5286.13,Marketing,Digital,175
2024-04-01,Salaries,49791.24,Marketing,Digital,175
2024-04-01,Utilities,4539.54,Marketing,Digital,175
2024-04-01,Rent,15918.12,Marketing,Digital,175
2024-04-01,Office Supplies,1984.66,Marketing,Digital,175
2024-04-01,Insurance,3229.44,Marketing,Digital,175
2024-04-01,Maintenance,4082.67,Marketing,Digital,175
2024-04-01,IT Services,9007.56,Marketing,Digital,175
2024-04-01,Marketing,9418.92,Marketing,Digital,175
2024-04-01,Travel,4111.42,Marketing,Digital,175
2024-04-01,Professional Services,6945.63,Marketing,Digital,175
2024-05-01,Salaries,51029.99,Marketing,Digital,175
2024-05-01,Utilities,4535.74,Marketing,Digital,175
2024-05-01,Rent,16236.48,Marketing,Digital,175
2024-05-01,Office Supplies,2270.91,Marketing,Digital,175
2024-05-01,Insurance,3290.24,Marketing,Digital,175
2024-05-01,Maintenance,2906.52,Marketing,Digital,175
2024-05-01,IT Services,9001.38,Marketing,Digital,175
2024-05-01,Marketing,13539.01,Marketing,Digital,175
2024-05-01,Travel,5326.57,Marketing,Digital,175
2024-05-01,Professional Services,5232.09,Marketing,Digital,175
2024-06-01,Salaries,50666.19,Marketing,Digital,175
2024-06-01,Utilities,5243.58,Marketing,Digital,175
2024-06-01,Rent,16561.21,Marketing,Digital,175
2024-06-01,Office Supplies,1695.49,Marketing,Digital,175
2024-06-01,Insurance,3388.37,Marketing,Digital,175
2024-06-01,Maintenance,2245.03,Marketing,Digital,175
2024-06-01,IT Services,9534.23,Marketing,Digital,175
2024-06-01,Marketing,8039.85,Marketing,Digital,175
2024-06-01,Travel,4535.25,Marketing,Digital,175
2024-06-01,Professional Services,5845.35,Marketing,Digital,175
2024-07-01,Salaries,50514.64,Marketing,Digital,175
2024-07-01,Utilities,6510.39,Marketing,Digital,175
2024-07-01,Rent,16892.44,Marketing,Digital,175
2024-07-01,Office Supplies,2130.9,Marketing,Digital,175
2024-07-01,Insurance,3147.57,Marketing,Digital,175
2024-07-01,Maintenance,3091.28,Marketing,Digital,175
2024-07-01,IT Services,8592.45,Marketing,Digital,175
2024-07-01,Marketing,13672.28,Marketing,Digital,175
2024-07-01,Travel,5446.14,Marketing,Digital,175
2024-07-01,Professional Services,5135.7,Marketing,Digital,175
2024-08-01,Salaries,51781.85,Marketing,Digital,175
2024-08-01,Utilities,6983.26,Marketing,Digital,175
2024-08-01,Rent,17230.29,Marketing,Digital,175
2024-08-01,Office Supplies,1873.22,Marketing,Digital,175
2024-08-01,Insurance,3350.93,Marketing,Digital,175
2024-08-01,Maintenance,2792.62,Marketing,Digital,175
2024-08-01,IT Services,9521.8,Marketing,Digital,175
2024-08-01,Marketing,11715.25,Marketing,Digital,175
2024-08-01,Travel,5595.84,Marketing,Digital,175
2024-08-01,Professional Services,7042.95,Marketing,Digital,175
2024-09-01,Salaries,51714.26,Marketing,Digital,175
2024-09-01,Utilities,4779.0,Marketing,Digital,175
2024-09-01,Rent,17574.89,Marketing,Digital,175
2024-09-01,Office Supplies,3295.66,Marketing,Digital,175
2024-09-01,Insurance,3216.67,Marketing,Digital,175
2024-09-01,Maintenance,2157.6,Marketing,Digital,175
2024-09-01,IT Services,8647.18,Marketing,Digital,175
2024-09-01,Marketing,13506.56,Marketing,Digital,175
2024-09-01,Travel,3907.91,Marketing,Digital,175
2024-09-01,Professional Services,6495.66,Marketing,Digital,175
2024-10-01,Salaries,51372.66,Marketing,Digital,175
2024-10-01,Utilities,5902.72,Marketing,Digital,175
2024-10-01,Rent,17926.39,Marketing,Digital,175
2024-10-01,Office Supplies,2543.05,Marketing,Digital,175
2024-10-01,Insurance,3361.29,Marketing,Digital,175
2024-10-01,Maintenance,3305.44,Marketing,Digital,175
2024-10-01,IT Services,8714.72,Marketing,Digital,175
2024-10-01,Marketing,11666.5,Marketing,Digital,175
2024-10-01,Travel,4662.4,Marketing,Digital,175
2024-10-01,Professional Services,7195.21,Marketing,Digital,175
2024-11-01,Salaries,50693.85,Marketing,Digital,175
2024-11-01,Utilities,5265.91,Marketing,Digital,175
2024-11-01,Rent,18284.92,Marketing,Digital,175
2024-11-01,Office Supplies,1768.19,Marketing,Digital,175
2024-11-01,Insurance,3308.43,Marketing,Digital,175
2024-11-01,Maintenance,3141.97,Marketing,Digital,175
2024-11-01,IT Services,10140.33,Marketing,Digital,175
2024-11-01,Marketing,15942.5,Marketing,Digital,175
2024-11-01,Travel,3595.99,Marketing,Digital,175
2024-11-01,Professional Services,5864.73,Marketing,Digital,175
2024-12-01,Salaries,51288.5,Marketing,Digital,175
2024-12-01,Utilities,6477.19,Marketing,Digital,175
2024-12-01,Rent,18650.61,Marketing,Digital,175
2024-12-01,Office Supplies,2300.09,Marketing,Digital,175
