date,category,amount,department,ExecSubFunction,Country
2024-01-01,Salaries,49230.11,Sales,Operations,120
2024-01-01,Utilities,6663.6,Sales,Operations,120
2024-01-01,Rent,15000.0,Sales,Operations,120
2024-01-01,Office Supplies,2340.59,Sales,Operations,120
2024-01-01,Insurance,2948.14,Sales,Operations,120
2024-01-01,Maintenance,3038.71,Sales,Operations,120
2024-01-01,IT Services,8265.74,Sales,Operations,120
2024-01-01,Marketing,10288.14,Sales,Operations,120
2024-01-01,Travel,2492.84,Sales,Operations,120
2024-01-01,Professional Services,7761.0,Sales,Operations,120
2024-02-01,Salaries,49939.27,Sales,Operations,120
2024-02-01,Utilities,6517.6,Sales,Operations,120
2024-02-01,Rent,15300.0,Sales,Operations,120
2024-02-01,Office Supplies,1564.67,Sales,Operations,120
2024-02-01,Insurance,3156.64,Sales,Operations,120
2024-02-01,Maintenance,2098.2,Sales,Operations,120
2024-02-01,IT Services,8004.94,Sales,Operations,120
2024-02-01,Marketing,8799.8,Sales,Operations,120
2024-02-01,Travel,2658.55,Sales,Operations,120
2024-02-01,Professional Services,6891.98,Sales,Operations,120
2024-03-01,Salaries,51002.52,Sales,Operations,120
2024-03-01,Utilities,5821.91,Sales,Operations,120
2024-03-01,Rent,15606.0,Sales,Operations,120
2024-03-01,Office Supplies,2479.09,Sales,Operations,120
2024-03-01,Insurance,3073.91,Sales,Operations,120
2024-03-01,Maintenance,3306.87,Sales,Operations,120
2024-03-01,IT Services,7628.21,Sales,Operations,120
2024-03-01,Marketing,13036.56,Sales,Operations,120
2024-03-01,Travel,4599.26,Sales,Operations,120
2024-03-01,Professional Services,5538.67,Sales,Operations,120
2024-04-01,Salaries,49452.68,Sales,Operations,120
2024-04-01,Utilities,5218.27,Sales,Operations,120
2024-04-01,Rent,15918.12,Sales,Operations,120
2024-04-01,Office Supplies,2168.58,Sales,Operations,120
2024-04-01,Insurance,3287.05,Sales,Operations,120
2024-04-01,Maintenance,3956.45,Sales,Operations,120
2024-04-01,IT Services,9186.08,Sales,Operations,120
2024-04-01,Marketing,10485.16,Sales,Operations,120
2024-04-01,Travel,2774.06,Sales,Operations,120
2024-04-01,Professional Services,7247.34,Sales,Operations,120
2024-05-01,Salaries,51519.71,Sales,Operations,120
2024-05-01,Utilities,5065.59,Sales,Operations,120
2024-05-01,Rent,16236.48,Sales,Operations,120
2024-05-01,Office Supplies,2215.95,Sales,Operations,120
2024-05-01,Insurance,3225.1,Sales,Operations,120
2024-05-01,Maintenance,2233.4,Sales,Operations,120
2024-05-01,IT Services,9346.58,Sales,Operations,120
2024-05-01,Marketing,8270.97,Sales,Operations,120
2024-05-01,Travel,3768.53,Sales,Operations,120
2024-05-01,Professional Services,7476.3,Sales,Operations,120
2024-06-01,Salaries,51233.08,Sales,Operations,120
